"Horodateur","Age","Gender","How experienced are you with the use of remote controllers?","How experienced are you with the use of remote controllers for controlling drones?","Which interface was easier to use for the task?","How useful was the haptic inteface?","Which interface did you prefer?","Why?","Please give your personal feedback/impressions"
"2019/08/13 10:13:17 AM UTC+2","24","Male","9","9","Wearable","10","Werable","Gives a sense of depth","The vibrating gloves are comfortable to use and approximately understand "
"2019/08/13 10:54:21 AM UTC+2","27","Male","5","2","Wearable","9","Werable","It was nice to have the physical motion associated with the motion of your hand","It would be nice to not have the vibration by default from the start of the flight. Adding more vibrational elements to the glove (or even making arrays of them if they are smaller) might be useful. The controller could be also integrated in the glove, I guess."
"2019/08/13 12:00:14 PM UTC+2","32","Female","3","3","Wearable","9","Werable","it was easier to control and it felt more similar to human's hand control.","the vibration was very useful, if the behind wall was in a unique color it would be better."
"2019/08/13 3:50:38 PM UTC+2","27","Female","10","1","Wearable","10","Werable","due to vibrations it's possible to align not only visually to go through.","Tasks were interesting and getting more challenging from 1 to 3. 
Liked an idea of this glove. Sure, it will find an application."
"2019/08/13 5:22:01 PM UTC+2","25","Female","3","1","Wearable","9","Werable","Because the vibrations help in knowing how close you are to the objective. If not, it is quite difficult to measure the depth (it is more trial and error and depends on the size of the robot)","I believe it is hard to measure the depth mostly when the robot has no shadow. The vibrations are a good way to help in the successful of the task, nevertheless sometimes the wearable could more difficult to control since you don't have the actions separately (go up, down, left, right, forward, backwards, as you can have it with the joystick)  "
"2019/08/13 6:37:02 PM UTC+2","29","Male","10","8","Wearable","10","Werable","The wearable interface feels more natural and the vibration feedback is useful to understand the drone position","It was hard to accomplish the tasks with the remote due to the lack of depth perception. The haptic glove was very helpful, expecially in tasks 2 and 3"
"2019/08/13 6:39:57 PM UTC+2","21","Male","10","1","Wearable","10","Werable","Physical feedback compensated the lack of vision I had. Without any change in the viewpoint and the haptic ,it was really difficult if not impossible, to do the tasks with the controller.","The haptic interface was really good. It could help to change the position of the motors on the gloves considering the position of the while in control. To have them correspond more with the spatial coordinates."
"2019/08/22 5:06:02 PM UTC+2","28","Male","7","1","Remote controller","9","Remote controller","Spatial control felt easier with the remote controller because x y z displacements are very straight forward, whereas it is more clumsy by hand. However, the existence and location of obstacles was made very clear with the haptic feedback. ","For the obstacles used in this experiment, I think a basic vibrating remote controller (say, like the one of the PS4) would have been sufficient to succeed in the tasks, indeed, I think the 6-way directionality of the haptic feedback felt like an overkill for these obstacles. "
"2019/08/22 6:04:56 PM UTC+2","28","Male","9","8","Wearable","10","Werable","I preferred the haptic feedback, as the depth perception was felt as well as seen. The obstacles were very difficult with no haptic feedback!","This system would be especially useful when your vision is impaired, such as if the drone is far away, or if you are blind in one eye. The haptic control of the drone was a little jerky vs the remote controller. It was initially counter intuitive given I have used an xbox style controller before, but it was quick/easy to learn."
"2019/08/22 6:43:03 PM UTC+2","23","Male","7","6","Wearable","10","Werable","The haptics feedback helps a lot during the tasks. It helps clearing obstacles much more easily.","The haptic feedback + control with the hand makes the whole experience quite intuitive and fun. I am definitely more confident with the haptic feedback."
"2019/08/24 12:11:45 AM UTC+2","23","Male","7","6","Wearable","10","Werable","The haptics feedback helps a lot during the tasks. It helps clearing obstacles much more easily.","The haptic feedback + control with the hand makes the whole experience quite intuitive and fun. I am definitely more confident with the haptic feedback."
"2019/08/28 1:38:23 PM UTC+2","31","Male","5","1","Wearable","6","Werable","having a feedback","The place of vibrator for forward direction was not intuitive because when grasping the fingers are not in forward direction"
"2019/08/28 3:48:56 PM UTC+2","24","Male","10","3","Wearable","9","Werable","Wearable control is more fun and haptic interface helps a lot to feel distances","Even if haptic interface helps a lot to feel distances, it is still not as easy as when you are able to rotate the camera"
