Informazioni cronologiche,subject number,Run,Interface,How mentally demanding was the test?,How physically demanding was the test?,How hurried or rushed was the pace of the task?,How successful were you in accomplishing what you were asked to do?,"How insecure, discouraged, irritated, stresses, and annoyed were you?"
12/08/2019 12.15.24,1,First,Remote,3,1,3,3,2
12/08/2019 12.15.39,1,Last,Remote,2,1,2,4,1
12/08/2019 12.15.56,1,First,Motion,2,2,1,2,3
12/08/2019 12.16.15,1,Last,Motion,1,1,1,4,1
12/08/2019 12.16.34,2,First,Remote,3,1,2,3,2
12/08/2019 12.16.48,2,Last,Remote,2,1,2,4,1
12/08/2019 12.17.10,2,First,Motion,3,1,2,3,1
12/08/2019 12.17.26,2,Last,Motion,2,1,1,4,1
12/08/2019 12.17.53,3,First,Motion,2,1,3,3,1
12/08/2019 12.18.11,3,Last,Motion,2,1,3,4,1
12/08/2019 12.18.36,3,First,Remote,4,1,5,1,1
12/08/2019 12.18.52,3,Last,Remote,4,1,4,3,1
12/08/2019 12.19.08,4,First,Remote,4,1,2,3,2
12/08/2019 12.19.40,4,Last,Remote,3,1,1,4,1
12/08/2019 12.19.54,4,First,Motion,3,1,1,3,1
12/08/2019 12.20.17,4,Last,Motion,3,1,2,3,1
12/08/2019 12.20.40,5,First,Motion,2,3,1,4,2
12/08/2019 12.21.04,5,Last,Motion,2,3,1,4,1
12/08/2019 12.21.22,5,First,Remote,1,1,1,2,1
12/08/2019 12.21.33,5,Last,Remote,4,1,1,2,2
22/08/2019 9.08.27,101,First,Remote,1,1,1,4,1
22/08/2019 9.18.17,101,Last,Remote,1,1,1,5,1
22/08/2019 9.22.53,101,First,Motion,1,2,1,5,1
22/08/2019 9.35.23,101,Last,Motion,1,2,1,4,1
22/08/2019 10.08.03,102,First,Motion,1,1,1,5,1
22/08/2019 10.18.04,102,Last,Motion,1,1,1,5,1
22/08/2019 10.22.09,102,First,Remote,1,1,1,5,1
22/08/2019 10.42.22,102,Last,Remote,2,1,1,3,1
22/08/2019 11.08.40,103,First,Remote,3,2,3,3,3
22/08/2019 11.29.30,103,Last,Remote,4,2,3,3,3
22/08/2019 11.35.16,103,First,Motion,4,2,3,4,4
22/08/2019 12.08.04,103,Last,Motion,5,3,3,2,5
22/08/2019 12.27.15,104,First,Motion,4,1,2,3,3
22/08/2019 12.51.47,104,Last,Motion,3,2,2,4,2
22/08/2019 12.55.19,104,First,Remote,2,1,1,4,1
22/08/2019 13.12.09,104,Last,Remote,2,1,1,4,1
28/08/2019 10.13.50,10,First,Motion,2,1,1,3,2
28/08/2019 10.19.56,10,Last,Motion,2,1,1,5,2
28/08/2019 10.24.06,10,First,Remote,3,1,1,3,2
28/08/2019 10.30.25,10,Last,Remote,3,1,3,4,2
28/08/2019 12.39.51,6,First,Remote,1,1,1,5,1
28/08/2019 12.44.31,6,Last,Remote,1,1,1,4,1
28/08/2019 12.47.36,6,First,Motion,1,1,1,3,1
28/08/2019 12.51.44,6,Last,Motion,1,1,1,3,1
28/08/2019 14.13.36,7,First,Motion,2,2,1,4,1
28/08/2019 14.18.00,7,Last,Motion,2,2,1,5,1
28/08/2019 14.20.49,7,First,Remote,3,2,1,5,2
28/08/2019 14.25.41,7,Last,Remote,3,2,1,4,1
28/08/2019 14.47.28,8,First,Remote,4,1,3,3,4
28/08/2019 14.51.57,8,Last,Remote,3,1,4,4,3
28/08/2019 14.55.35,8,First,Motion,2,2,3,4,2
28/08/2019 15.00.30,8,Last,Motion,1,4,2,3,1
28/08/2019 16.12.12,9,First,Motion,2,3,3,5,2
28/08/2019 16.12.41,9,Last,Motion,1,1,5,3,2
28/08/2019 16.17.00,9,First,Remote,4,1,3,5,4
28/08/2019 16.20.47,9,Last,Remote,2,1,5,2,4
09/09/2019 11.17.44,100,First,Remote,3,1,1,4,2
09/09/2019 11.17.58,100,Last,Remote,2,1,1,5,1
09/09/2019 11.18.20,100,First,Motion,1,1,1,4,1
09/09/2019 11.18.31,100,Last,Motion,1,2,1,5,1
