Index,Run,Subject,Interface,Collided
1,1,1,Motion,0
2,2,1,Motion,1
3,3,1,Motion,0
4,4,1,Motion,0
5,5,1,Motion,0
6,1,1,Remote,0
7,2,1,Remote,1
8,3,1,Remote,1
9,4,1,Remote,1
10,5,1,Remote,0
11,1,2,Motion,0
12,2,2,Motion,0
13,3,2,Motion,0
14,4,2,Motion,0
15,5,2,Motion,0
16,1,2,Remote,0
17,2,2,Remote,1
18,3,2,Remote,0
19,4,2,Remote,0
20,5,2,Remote,0
21,1,3,Motion,1
22,2,3,Motion,0
23,3,3,Motion,1
24,4,3,Motion,0
25,5,3,Motion,1
26,1,3,Remote,0
27,2,3,Remote,1
28,3,3,Remote,0
29,4,3,Remote,0
30,5,3,Remote,0
31,1,4,Motion,0
32,2,4,Motion,1
33,3,4,Motion,0
34,4,4,Motion,0
35,5,4,Motion,0
36,1,4,Remote,0
37,2,4,Remote,0
38,3,4,Remote,1
39,4,4,Remote,0
40,5,4,Remote,0
41,1,5,Motion,0
42,2,5,Motion,0
43,3,5,Motion,1
44,4,5,Motion,0
45,5,5,Motion,0
46,1,5,Remote,1
47,2,5,Remote,1
48,3,5,Remote,1
49,4,5,Remote,1
50,5,5,Remote,1
51,1,6,Motion,1
52,2,6,Motion,0
53,3,6,Motion,0
54,4,6,Motion,0
55,5,6,Motion,0
56,1,6,Remote,1
57,2,6,Remote,1
58,3,6,Remote,0
59,4,6,Remote,0
60,5,6,Remote,0
61,1,7,Motion,0
62,2,7,Motion,1
63,3,7,Motion,0
64,4,7,Motion,0
65,5,7,Motion,0
66,1,7,Remote,1
67,2,7,Remote,1
68,3,7,Remote,1
69,4,7,Remote,0
70,5,7,Remote,0
71,1,8,Motion,0
72,2,8,Motion,0
73,3,8,Motion,0
74,4,8,Motion,0
75,5,8,Motion,0
76,1,8,Remote,0
77,2,8,Remote,1
78,3,8,Remote,1
79,4,8,Remote,0
80,5,8,Remote,0
