Index,Run,Subject,Interface,Collided
1,1,1,Motion,0
2,2,1,Motion,1
3,3,1,Motion,0
4,4,1,Motion,0
5,5,1,Motion,0
6,1,1,Remote,0
7,2,1,Remote,1
8,3,1,Remote,1
9,4,1,Remote,1
10,5,1,Remote,0
11,1,1,Glove,0
12,2,1,Glove,1
13,3,1,Glove,1
14,4,1,Glove,0
15,5,1,Glove,0
16,1,2,Motion,0
17,2,2,Motion,0
18,3,2,Motion,0
19,4,2,Motion,0
20,5,2,Motion,0
21,1,2,Remote,0
22,2,2,Remote,1
23,3,2,Remote,0
24,4,2,Remote,0
25,5,2,Remote,0
26,1,2,Glove,1
27,2,2,Glove,0
28,3,2,Glove,0
29,4,2,Glove,0
30,5,2,Glove,0
31,1,3,Motion,1
32,2,3,Motion,0
33,3,3,Motion,1
34,4,3,Motion,0
35,5,3,Motion,1
36,1,3,Remote,0
37,2,3,Remote,1
38,3,3,Remote,0
39,4,3,Remote,0
40,5,3,Remote,0
41,1,3,Glove,1
42,2,3,Glove,1
43,3,3,Glove,1
44,4,3,Glove,1
45,5,3,Glove,0
46,1,4,Motion,0
47,2,4,Motion,1
48,3,4,Motion,0
49,4,4,Motion,0
50,5,4,Motion,0
51,1,4,Remote,0
52,2,4,Remote,0
53,3,4,Remote,1
54,4,4,Remote,0
55,5,4,Remote,0
56,1,4,Glove,0
57,2,4,Glove,0
58,3,4,Glove,1
59,4,4,Glove,0
60,5,4,Glove,0
61,1,5,Motion,0
62,2,5,Motion,0
63,3,5,Motion,1
64,4,5,Motion,0
65,5,5,Motion,0
66,1,5,Remote,1
67,2,5,Remote,1
68,3,5,Remote,1
69,4,5,Remote,1
70,5,5,Remote,1
71,1,5,Glove,0
72,2,5,Glove,1
73,3,5,Glove,1
74,4,5,Glove,0
75,5,5,Glove,0
76,1,6,Motion,1
77,2,6,Motion,0
78,3,6,Motion,0
79,4,6,Motion,0
80,5,6,Motion,0
81,1,6,Remote,1
82,2,6,Remote,1
83,3,6,Remote,0
84,4,6,Remote,0
85,5,6,Remote,0
86,1,6,Glove,0
87,2,6,Glove,0
88,3,6,Glove,0
89,4,6,Glove,0
90,5,6,Glove,0
91,1,7,Motion,0
92,2,7,Motion,1
93,3,7,Motion,0
94,4,7,Motion,0
95,5,7,Motion,0
96,1,7,Remote,1
97,2,7,Remote,1
98,3,7,Remote,1
99,4,7,Remote,0
100,5,7,Remote,0
101,1,7,Glove,0
102,2,7,Glove,1
103,3,7,Glove,0
104,4,7,Glove,0
105,5,7,Glove,1
106,1,8,Motion,0
107,2,8,Motion,0
108,3,8,Motion,0
109,4,8,Motion,0
110,5,8,Motion,0
111,1,8,Remote,0
112,2,8,Remote,1
113,3,8,Remote,1
114,4,8,Remote,0
115,5,8,Remote,0
116,1,8,Glove,0
117,2,8,Glove,0
118,3,8,Glove,0
119,4,8,Glove,1
120,5,8,Glove,1
