Index,Run,Subject,Interface,Collided Z,Collided Y
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
11,1,2,Motion,1,1
12,2,2,Motion,1,1
13,3,2,Motion,0,1
14,4,2,Motion,0,0
15,5,2,Motion,0,0
16,1,2,Remote,1,0
17,2,2,Remote,1,1
18,3,2,Remote,1,0
19,4,2,Remote,1,1
20,5,2,Remote,1,1
21,1,3,Motion,0,0
22,2,3,Motion,1,1
23,3,3,Motion,0,0
24,4,3,Motion,0,0
25,5,3,Motion,0,1
26,1,3,Remote,1,0
27,2,3,Remote,1,0
28,3,3,Remote,0,0
29,4,3,Remote,1,1
30,5,3,Remote,0,0
31,1,4,Motion,0,1
32,2,4,Motion,0,0
33,3,4,Motion,1,1
34,4,4,Motion,0,1
35,5,4,Motion,0,1
36,1,4,Remote,1,1
37,2,4,Remote,1,1
38,3,4,Remote,1,1
39,4,4,Remote,1,0
40,5,4,Remote,1,1
41,1,5,Motion,0,0
42,2,5,Motion,0,1
43,3,5,Motion,0,1
44,4,5,Motion,0,0
45,5,5,Motion,0,0
46,1,5,Remote,1,1
47,2,5,Remote,1,1
48,3,5,Remote,1,0
49,4,5,Remote,0,0
50,5,5,Remote,0,1
51,1,6,Motion,0,0
52,2,6,Motion,1,0
53,3,6,Motion,0,1
54,4,6,Motion,0,0
55,5,6,Motion,0,1
56,1,6,Remote,0,1
57,2,6,Remote,0,0
58,3,6,Remote,1,1
59,4,6,Remote,1,0
60,5,6,Remote,0,1
61,1,7,Motion,0,1
62,2,7,Motion,0,1
63,3,7,Motion,0,0
64,4,7,Motion,1,0
65,5,7,Motion,0,0
66,1,7,Remote,1,1
67,2,7,Remote,0,1
68,3,7,Remote,1,0
69,4,7,Remote,1,0
70,5,7,Remote,1,1
71,1,8,Motion,0,0
72,2,8,Motion,0,1
73,3,8,Motion,0,0
74,4,8,Motion,0,0
75,5,8,Motion,0,0
76,1,8,Remote,0,0
77,2,8,Remote,1,0
78,3,8,Remote,0,1
79,4,8,Remote,0,0
80,5,8,Remote,1,1
81,1,9,Motion,0,1
82,2,9,Motion,0,1
83,3,9,Motion,0,1
84,4,9,Motion,0,0
85,5,9,Motion,0,0
86,1,9,Remote,1,0
87,2,9,Remote,1,0
88,3,9,Remote,1,1
89,4,9,Remote,0,1
90,5,9,Remote,1,0
91,1,10,Motion,1,1
92,2,10,Motion,0,1
93,3,10,Motion,1,0
94,4,10,Motion,1,0
95,5,10,Motion,0,0
96,1,10,Remote,1,0
97,2,10,Remote,0,0
98,3,10,Remote,1,1
99,4,10,Remote,1,1
100,5,10,Remote,0,0
