"Horodateur","subject number","Interface","How mentally demanding was the test?","How physically demanding was the test?","How hurried or rushed was the pace of the task?","How successful were you in accomplishing what you were asked to do?","How insecure, discouraged, irritated, stresses, and annoyed were you?"
"2019/08/13 9:51:06 AM UTC+2","2","Motion","2","3","1","4","1"
"2019/08/13 10:06:48 AM UTC+2","2","Remote","1","1","1","1","1"
"2019/08/13 10:21:19 AM UTC+2","3","Remote","4","2","2","3","2"
"2019/08/13 10:27:11 AM UTC+2","3","Remote","4","2","2","4","2"
"2019/08/13 10:39:14 AM UTC+2","3","Motion","4","1","1","3","1"
"2019/08/13 11:33:59 AM UTC+2","4","Motion","1","2","1","3","1"
"2019/08/13 11:50:04 AM UTC+2","4","Remote","3","2","1","1","2"
"2019/08/13 2:31:21 PM UTC+2","5","Motion","3","1","1","5","1"
"2019/08/13 2:44:38 PM UTC+2","5","Remote","3","1","1","2","4"
"2019/08/13 3:18:05 PM UTC+2","6","Remote","2","1","1","3","1"
"2019/08/13 3:40:29 PM UTC+2","6","Motion","1","1","1","4","1"
"2019/08/13 4:53:12 PM UTC+2","7","Remote","3","1","1","3","1"
"2019/08/13 5:08:36 PM UTC+2","7","Motion","3","1","1","4","1"
"2019/08/13 6:24:34 PM UTC+2","8","Motion","1","1","1","5","1"
"2019/08/13 6:34:40 PM UTC+2","8","Remote","2","1","1","3","3"
"2019/08/22 2:36:30 PM UTC+2","101","Remote","4","1","2","4","1"
"2019/08/22 4:51:23 PM UTC+2","102","Remote","4","2","2","2","4"
"2019/08/22 5:19:17 PM UTC+2","103","Remote","4","1","2","4","2"
"2019/08/22 5:48:22 PM UTC+2","103","Motion","2","1","1","5","1"
"2019/08/24 12:11:42 AM UTC+2","103","Motion","2","1","1","5","1"
"2019/08/28 1:17:54 PM UTC+2","9","Motion","1","1","1","4","1"
"2019/08/28 1:33:36 PM UTC+2","9","Remote","3","1","1","2","1"
"2019/08/28 3:16:17 PM UTC+2","10","Remote","3","1","2","2","3"
"2019/08/28 3:39:30 PM UTC+2","10","Motion","2","2","3","3","1"
